date,tag,trend_score
2018-02-28,whatsapp,74
2018-03-01,whatsapp,73
2018-03-02,whatsapp,73
2018-03-03,whatsapp,64
2018-03-04,whatsapp,59
2018-03-05,whatsapp,73
2018-03-06,whatsapp,74
2018-03-07,whatsapp,73
2018-03-08,whatsapp,79
2018-03-09,whatsapp,76
2018-03-10,whatsapp,61
2018-03-11,whatsapp,59
2018-03-12,whatsapp,74
2018-03-13,whatsapp,73
2018-03-14,whatsapp,72
2018-03-15,whatsapp,72
2018-03-16,whatsapp,73
2018-03-17,whatsapp,63
2018-03-18,whatsapp,61
2018-03-19,whatsapp,72
2018-03-20,whatsapp,75
2018-03-21,whatsapp,78
2018-03-22,whatsapp,77
2018-03-23,whatsapp,75
2018-03-24,whatsapp,68
2018-03-25,whatsapp,60
2018-03-26,whatsapp,79
2018-03-27,whatsapp,76
2018-03-28,whatsapp,76
2018-03-29,whatsapp,72
2018-03-30,whatsapp,65
2018-03-31,whatsapp,62
2018-04-01,whatsapp,68
2018-04-02,whatsapp,74
2018-04-03,whatsapp,78
2018-04-04,whatsapp,73
2018-04-05,whatsapp,75
2018-04-06,whatsapp,72
2018-04-07,whatsapp,63
2018-04-08,whatsapp,59
2018-04-09,whatsapp,73
2018-04-10,whatsapp,75
2018-04-11,whatsapp,75
2018-04-12,whatsapp,78
2018-04-13,whatsapp,73
2018-04-14,whatsapp,66
2018-04-15,whatsapp,62
2018-04-16,whatsapp,74
2018-04-17,whatsapp,78
2018-04-18,whatsapp,78
2018-04-19,whatsapp,72
2018-04-20,whatsapp,76
2018-04-21,whatsapp,64
2018-04-22,whatsapp,60
2018-04-23,whatsapp,77
2018-04-24,whatsapp,75
2018-04-25,whatsapp,78
2018-04-26,whatsapp,78
2018-04-27,whatsapp,73
2018-04-28,whatsapp,66
2018-04-29,whatsapp,59
2018-04-30,whatsapp,73
2018-05-01,whatsapp,62
2018-05-02,whatsapp,74
2018-05-03,whatsapp,77
2018-05-04,whatsapp,78
2018-05-05,whatsapp,65
2018-05-06,whatsapp,63
2018-05-07,whatsapp,74
2018-05-08,whatsapp,77
2018-05-09,whatsapp,76
2018-05-10,whatsapp,75
2018-05-11,whatsapp,70
2018-05-12,whatsapp,65
2018-05-13,whatsapp,60
2018-05-14,whatsapp,75
2018-05-15,whatsapp,74
2018-05-16,whatsapp,76
2018-05-17,whatsapp,75
2018-05-18,whatsapp,74
2018-05-19,whatsapp,59
2018-05-20,whatsapp,59
2018-05-21,whatsapp,76
2018-05-22,whatsapp,84
2018-05-23,whatsapp,79
2018-05-24,whatsapp,79
2018-05-25,whatsapp,80
2018-05-26,whatsapp,69
2018-05-27,whatsapp,66
2018-05-28,whatsapp,80
2018-05-29,whatsapp,81
